reviewId,userName,content,score,at
a5df799b-7a2d-4cd5-96ac-6299f4e638e2,Pengguna Google,lumayan sih tapi agak bingung aja aku udah 44 hari beruntun,5,2025-10-26 12:24:24
18337687-fba3-4441-872a-9cc6722f2d54,Pengguna Google,"bahasa Inggrisnya tidak bisa ke semua bahasa, aku ingin belajar bahasa thailand dan India🥺",3,2025-10-26 12:19:00
a860ae57-c14f-40f5-8498-44a7703be148,Pengguna Google,"freaking hell, abis update jadi kapitalis bgt anjinggg, balikin fitur hati daripada energi. kalo mau kejar leaderboard rasanya kayak dipaksa pake premium astaga.",1,2025-10-26 12:17:06
dd2264de-aab7-4dee-a8e0-7a15a59506ef,Pengguna Google,"The change from the heart system to the energy system was a very bad decision from the duolingo development team. The Duolingo I used to know was an application that facilitated foreign language learning for us users so that we could learn foreign languages with easy access. However, unfortunately it seems that now Duolingo is chasing wealth too much, forcing everyone for paid subscriptions. I'm really disappointed and many of us are considering switching to a more generous app 🙂",1,2025-10-26 12:15:53
9677b332-e3e5-4950-84d9-d156ff58bdb3,Pengguna Google,Duolingo itu applikasi yang bagus untuk belajar,5,2025-10-26 12:15:41
28b59035-2476-4d65-8cd9-357851f40380,Pengguna Google,sangat membantu,5,2025-10-26 12:14:09
0025a160-8704-4fe7-9ae9-a1314e17a3ec,Pengguna Google,sagat bagus,5,2025-10-26 12:07:29
b01e9bda-535a-40af-9c1e-0caee78dddbd,Pengguna Google,"thanks you duolingo karena duolingo aku gak perlu les bahasa inggris kemana mana , les sama duolingo aja",5,2025-10-26 12:04:01
a1e4f663-101e-42a3-bb0d-5ea264cbcf02,Pengguna Google,"tolong tambahkan fitur chat di aplikasi mobile, mengobrol dengan orang lain secara langsung akan sangat membantu pembelajaran",5,2025-10-26 12:03:55
43277ff2-d91f-4cb1-8b9a-9199508fce45,Pengguna Google,"jangan mulai kikir ya duolingo 🙂 udah bener pake hati kenapa diganti baterai? berhenti ditengah' pembelajaran padahal ga ngelakuin kesalahan tu bikin g mood pls, minimal dikasih opsi nonton iklan sewaktu mau ngembaliin baterai ditengah' pembelajaran, atau ga ditambahin baterai nya, 25 doang terlalu dikit menurut ku, yg dmn hrs nonton iklan berulang kali (lebih banyak dibanding pake hati)",1,2025-10-26 12:00:44
0d7790cf-3bba-47d2-b88f-715b8fc0ff69,Pengguna Google,"SUKAAA BANGET SAMA DUOLINGO, tapi semenjak sistem nya di ubah jadi ke energi, menurut aku malah nurunin minat aku buat belajar di duolingo, pake energi tuh anehnya meskipun bener tetap aja berkurang energinya, tolong untuk admin nya KEMBALIKAN sistem hati lagi.",3,2025-10-26 12:00:39
e38c05a0-6f95-40eb-88ef-78605f65e376,Pengguna Google,bagus siehh,4,2025-10-26 11:59:54
eb09494b-a198-4e45-9044-5c00b6103b5a,Pengguna Google,buat bljar,5,2025-10-26 11:59:24
e019ee07-0042-4f9f-affd-8c822146f939,Pengguna Google,"semoga bermanfaat, dan dapat digunakan sebagai bahan untuk membuat suatu keputusan yang diambil",5,2025-10-26 11:54:52
58217dfd-4897-4c8b-8d7f-262e5df8304a,Pengguna Google,"remove the energy feature as life, return the heart as life!!",1,2025-10-26 11:53:18
ee5771d3-03a2-4857-8945-4bd4f58e5581,Pengguna Google,"fitur energi nya jelek banget, dulu bisa belajar lebih dari 10 tapi sekarang cuman 2",1,2025-10-26 11:53:13
aaf98501-62af-4687-8718-1f5823935b6e,Pengguna Google,Congratulation,5,2025-10-26 11:50:46
127dface-d886-48e2-ae50-fceb9aa8af75,Pengguna Google,TERBAIK,5,2025-10-26 11:45:01
ab6c88a7-85ff-4b02-8d9c-836ed6e27a88,Pengguna Google,bagus,5,2025-10-26 11:44:41
c202dec9-fcdb-46da-b34f-f26990798d04,Pengguna Google,saya minta uang saya dikembalikan dikarenakan saya tidak pernah merasa berlangganan di duo linggo uang saya kesedot sebesar 532.800.00 pada 14 Oktober 2025,1,2025-10-26 11:41:21
16b05d0d-33b1-42d5-902b-0ec8b0addd0d,Pengguna Google,"Sangat bermanfaat sekali untuk belajar bahasa asing mengenal tulisan, arti dan pengucapannya.",5,2025-10-26 11:40:37
11f27bea-956e-4c9c-8049-112656ffbc1d,Pengguna Google,aplikasi nya bagus bgt karna saya sangat cepat bisa bahasa jepang,5,2025-10-26 11:38:32
40dd87ac-c3a8-4690-86c2-e9cdb412f47b,Pengguna Google,"aplikasi bagus! cara belajar nya mudah banget buat di ngertiin btw disini bukan belajar bahasa doang tapi bisa juga belajar mtk wkwkw keren sih, pokok nya yang lagi mau belajar bahasa wajib coba pake apk ini sih, pokok nya nice bgtt.",5,2025-10-26 11:38:31
a7eaaa54-03ed-4027-9257-e921c277de8a,Pengguna Google,keren,4,2025-10-26 11:29:25
7372dbac-4792-42bd-98fc-e6be3f3fcc0f,Pengguna Google,"Makin kesini makin hancur,udah pake ai yang terkadang salah dan skarang sudah pakai sistem energi bukan nyawa memaksa agar langganan, maunya sih Langganan tapi di apk nya Masi ada aja kesalahan kalimat, sangat kecewa",1,2025-10-26 11:28:36
3872062b-23f5-4434-aca6-552149580008,Pengguna Google,bagusss ss,5,2025-10-26 11:23:07
78656724-df08-490a-801f-6afb98a6aac2,Pengguna Google,good app for studying new language :D,5,2025-10-26 11:19:58
5b2d8046-e612-435c-86da-637feab3840a,Pengguna Google,"karena aplikasi ini, saya menjadi lebih pandai bahasa Inggris dan mengetahui kata kata baru, bermanfaat bgt buat yg belum bisa atau agak bisa bahasa inggris",5,2025-10-26 11:18:26
6f581e58-ba54-44ac-b796-fe2511b40fd9,Pengguna Google,"Duolingo bukan hanya permainan tetapi duolingo juga bisa belajar bahasa apa saja yang kalian butuhkan dan mudah mengerti tentang bahasa yang anda tuju aplikasi ini paling thebest sih aku suka, dia juga nggak ada iklann nya jadi lebih seru belajar nya",5,2025-10-26 11:08:27
0c50a49e-cb28-4bce-afa6-d37bef01e327,Pengguna Google,sangat bagus,5,2025-10-26 11:03:59
a41e07d1-12cf-4762-81d2-88322a55a092,Pengguna Google,sangat seru,5,2025-10-26 10:59:49
699f2cb5-92b4-4e03-af77-1907bc3eb644,Pengguna Google,good,5,2025-10-26 10:58:26
dea8f76e-f60a-4872-9309-a650d77a9c89,Pengguna Google,lebih suka fitur hati dari pada yang sekarang (batre) dan juga terdapat lgbt,1,2025-10-26 10:49:24
93311942-5cf4-48c9-b08e-26bd92ae9342,Pengguna Google,aplikasi nya bagus sangat berguna untuk belajar bahasa Inggris dan lain-lain,5,2025-10-26 10:47:03
25d74775-d7bd-4844-acbf-e40280391206,Pengguna Google,membantu memahami bahasa asing,5,2025-10-26 10:46:47
c5b56ff8-b2b9-4349-af7e-191c99c82c66,Pengguna Google,aplikasi ini sangat membantu untuk peroses belajar berbagai bahasa,5,2025-10-26 10:44:51
68c59d85-c5ac-4668-ba29-6b9864574419,Pengguna Google,aku merasa senang 😊,5,2025-10-26 10:43:15
4be72438-4a0d-4a5e-8450-e17c95332b68,Pengguna Google,keren,5,2025-10-26 10:42:18
cea87fe9-298b-48f8-86bd-9e5d5d48925e,Pengguna Google,bagus banget 😊,5,2025-10-26 10:40:48
6ad1b3b7-5898-4d55-9f6a-77b5367b86e8,Pengguna Google,gak sengaja kepikiran liat asal usul duolingo di yt eh pas 2025 di gantiin pake ai,1,2025-10-26 10:38:54
8afd26af-6d2e-45a7-8305-b3121b2acac9,Pengguna Google,seru sekali saya dapat belajar dengan cara seperti bermain dan saya senang bisa mengenal duolingo karena dengan aplikasi duolingo saya bisa belajar bahasa Jepang dengan begitu saya bisa lancar bahasa Jepang dan saya bisa mengobrol dengan orang Jepang jika saya ketemu dengan orang Jepang saya bisa meminta tanda tangan kepada orang Jepang dengan bahasa Jepang duolingo itu sangat bagus saya suka pakai aplikasi duolingo terima kasih duolingo saya senang kenal duolingo ayo coba duolingo sekarang 💌💌,5,2025-10-26 10:32:37
4003a8be-6515-4320-939e-78e2d919db20,Pengguna Google,aplikasinya bagus bagus aja buat pemula cuman bakalan kerasa monoton aja bagi yang dah faham basicnya rekomend rekomend aja cuman ya tolong latiannya jangan dibuat terlalu monoton,4,2025-10-26 10:29:50
ea688c60-9897-4fc2-bdc1-572fcca7907a,Pengguna Google,sangat membantu untuk belajar kosakata sempurna di dalam aplikasi ini,5,2025-10-26 10:28:06
e1fa13c1-9e66-4f3d-ae81-137e77de9a71,Pengguna Google,aplikasi ini membantu banget buat aku yg gak bisa bahasa luar negri dan gara2 aku belajar disini aku jadi jago bahasa inggris,5,2025-10-26 10:26:54
